Starting Program 3 (SLOW)...
SLOW : WINDOW SIZE: [50] Load: 6.7% | Temp: 40.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.3% | Temp: 40.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.5% | Temp: 40.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.9% | Temp: 40.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.9% | Temp: 41.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.9% | Temp: 41.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.9% | Temp: 41.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.9% | Temp: 41.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.9% | Temp: 41.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.5% | Temp: 42.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.5% | Temp: 42.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.1% | Temp: 41.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.2% | Temp: 41.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.2% | Temp: 41.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.2% | Temp: 41.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.6% | Temp: 41.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.6% | Temp: 41.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.9% | Temp: 42.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 7.3% | Temp: 42.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.9% | Temp: 41.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.9% | Temp: 41.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.7% | Temp: 41.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 7.1% | Temp: 41.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 7.1% | Temp: 42.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 7.1% | Temp: 42.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 7.1% | Temp: 41.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 7.1% | Temp: 41.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 7.1% | Temp: 41.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.7% | Temp: 41.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.7% | Temp: 41.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.7% | Temp: 40.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.8% | Temp: 40.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.8% | Temp: 41.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.7% | Temp: 41.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.7% | Temp: 40.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.7% | Temp: 40.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.7% | Temp: 41.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.7% | Temp: 41.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.7% | Temp: 41.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.7% | Temp: 41.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 7.1% | Temp: 40.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 7.1% | Temp: 40.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.4% | Temp: 41.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.4% | Temp: 41.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.4% | Temp: 41.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.4% | Temp: 41.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.8% | Temp: 41.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 7.2% | Temp: 41.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.9% | Temp: 41.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 7.3% | Temp: 41.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 7.7% | Temp: 41.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 7.7% | Temp: 41.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 7.0% | Temp: 41.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.6% | Temp: 41.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.6% | Temp: 41.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.6% | Temp: 41.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.6% | Temp: 41.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 7.0% | Temp: 41.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 7.4% | Temp: 41.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 7.4% | Temp: 41.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 7.0% | Temp: 41.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 7.4% | Temp: 40.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 7.0% | Temp: 40.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 7.0% | Temp: 41.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 7.3% | Temp: 42.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.9% | Temp: 42.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.9% | Temp: 42.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.6% | Temp: 42.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.2% | Temp: 41.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.6% | Temp: 41.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 7.0% | Temp: 42.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.9% | Temp: 42.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.5% | Temp: 41.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.5% | Temp: 41.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.5% | Temp: 41.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.5% | Temp: 41.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.9% | Temp: 41.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.5% | Temp: 41.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.5% | Temp: 41.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.9% | Temp: 41.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.9% | Temp: 41.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.5% | Temp: 41.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.5% | Temp: 41.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.5% | Temp: 40.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.5% | Temp: 40.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.5% | Temp: 41.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.5% | Temp: 41.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.1% | Temp: 40.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.5% | Temp: 40.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.9% | Temp: 41.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.9% | Temp: 41.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.9% | Temp: 42.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.9% | Temp: 42.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.9% | Temp: 41.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.9% | Temp: 41.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 7.3% | Temp: 41.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.9% | Temp: 41.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.5% | Temp: 41.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.8% | Temp: 41.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.8% | Temp: 40.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.4% | Temp: 40.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.4% | Temp: 41.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.4% | Temp: 41.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.4% | Temp: 41.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.4% | Temp: 41.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.4% | Temp: 41.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.7% | Temp: 41.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.7% | Temp: 41.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.7% | Temp: 40.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.7% | Temp: 40.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.7% | Temp: 40.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.3% | Temp: 40.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.3% | Temp: 41.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.3% | Temp: 41.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.3% | Temp: 41.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.3% | Temp: 41.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.3% | Temp: 40.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.7% | Temp: 40.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 7.1% | Temp: 41.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 7.1% | Temp: 41.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.7% | Temp: 41.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.3% | Temp: 42.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.3% | Temp: 42.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.3% | Temp: 41.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.7% | Temp: 41.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.7% | Temp: 42.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.7% | Temp: 42.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.7% | Temp: 41.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.7% | Temp: 41.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.3% | Temp: 41.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 5.9% | Temp: 41.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 5.9% | Temp: 41.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 5.9% | Temp: 41.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.0% | Temp: 41.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.3% | Temp: 41.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.3% | Temp: 41.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.7% | Temp: 41.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 7.1% | Temp: 42.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.7% | Temp: 42.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.3% | Temp: 41.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 5.9% | Temp: 40.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 5.9% | Temp: 40.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 5.9% | Temp: 41.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.3% | Temp: 41.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.3% | Temp: 41.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.4% | Temp: 41.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.7% | Temp: 41.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 7.1% | Temp: 41.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.8% | Temp: 40.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.4% | Temp: 40.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.4% | Temp: 41.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.8% | Temp: 41.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.8% | Temp: 41.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.8% | Temp: 41.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.8% | Temp: 41.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 7.2% | Temp: 41.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.9% | Temp: 41.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.9% | Temp: 41.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.5% | Temp: 41.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.5% | Temp: 42.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.5% | Temp: 42.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.5% | Temp: 41.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.5% | Temp: 41.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.5% | Temp: 40.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.5% | Temp: 40.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.5% | Temp: 41.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 7.2% | Temp: 41.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 7.2% | Temp: 41.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.9% | Temp: 41.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.5% | Temp: 41.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.5% | Temp: 41.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.5% | Temp: 40.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.5% | Temp: 40.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.8% | Temp: 41.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.8% | Temp: 41.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.8% | Temp: 42.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.9% | Temp: 42.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.9% | Temp: 41.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.9% | Temp: 40.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.9% | Temp: 40.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.9% | Temp: 41.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.9% | Temp: 41.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 7.3% | Temp: 40.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.9% | Temp: 40.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.5% | Temp: 41.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 7.2% | Temp: 41.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.8% | Temp: 41.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.4% | Temp: 41.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.4% | Temp: 41.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.4% | Temp: 41.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.4% | Temp: 41.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.4% | Temp: 41.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.7% | Temp: 42.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.3% | Temp: 42.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.7% | Temp: 41.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.3% | Temp: 41.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.0% | Temp: 41.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 5.6% | Temp: 41.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 5.6% | Temp: 41.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 5.6% | Temp: 41.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 5.9% | Temp: 41.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 5.5% | Temp: 42.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 5.5% | Temp: 42.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 5.9% | Temp: 41.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.3% | Temp: 41.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.5% | Temp: 42.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.5% | Temp: 42.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.1% | Temp: 41.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.1% | Temp: 41.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.1% | Temp: 40.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.1% | Temp: 40.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.5% | Temp: 41.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.5% | Temp: 41.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.9% | Temp: 42.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.5% | Temp: 41.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 7.1% | Temp: 41.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.5% | Temp: 41.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.1% | Temp: 41.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.1% | Temp: 40.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.1% | Temp: 40.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.1% | Temp: 40.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.1% | Temp: 40.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.5% | Temp: 41.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.5% | Temp: 41.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.5% | Temp: 40.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.5% | Temp: 40.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.1% | Temp: 41.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.1% | Temp: 41.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.1% | Temp: 41.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.1% | Temp: 41.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.5% | Temp: 41.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.5% | Temp: 41.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.5% | Temp: 40.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.5% | Temp: 41.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 7.2% | Temp: 41.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.5% | Temp: 41.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.5% | Temp: 41.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.5% | Temp: 41.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.5% | Temp: 41.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.9% | Temp: 43.3°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.9% | Temp: 43.3°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.9% | Temp: 41.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 7.0% | Temp: 41.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 7.4% | Temp: 40.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 7.3% | Temp: 40.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 7.3% | Temp: 41.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 7.3% | Temp: 41.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 7.3% | Temp: 41.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 7.3% | Temp: 41.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 7.7% | Temp: 40.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 7.8% | Temp: 40.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 7.8% | Temp: 42.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 7.8% | Temp: 42.8°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 7.4% | Temp: 42.8°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 7.5% | Temp: 41.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.8% | Temp: 41.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 7.2% | Temp: 41.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 7.5% | Temp: 41.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 7.9% | Temp: 41.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 7.9% | Temp: 41.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 7.9% | Temp: 41.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 7.9% | Temp: 42.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 7.9% | Temp: 42.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 7.9% | Temp: 41.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 7.9% | Temp: 41.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 7.3% | Temp: 41.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 7.7% | Temp: 41.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 8.0% | Temp: 41.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 8.0% | Temp: 42.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 8.6% | Temp: 42.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 8.6% | Temp: 41.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 9.0% | Temp: 40.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 8.6% | Temp: 40.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 8.2% | Temp: 41.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 8.2% | Temp: 41.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 8.5% | Temp: 41.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 8.9% | Temp: 42.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 9.2% | Temp: 42.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 9.6% | Temp: 42.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 9.6% | Temp: 42.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 9.2% | Temp: 42.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 9.2% | Temp: 42.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 9.5% | Temp: 41.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 9.9% | Temp: 41.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 9.2% | Temp: 41.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 9.2% | Temp: 40.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 9.6% | Temp: 40.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 9.6% | Temp: 41.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 10.0% | Temp: 41.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 10.1% | Temp: 42.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 10.1% | Temp: 41.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 10.1% | Temp: 41.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 9.7% | Temp: 41.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 9.7% | Temp: 41.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 9.3% | Temp: 41.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 9.3% | Temp: 41.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 9.7% | Temp: 41.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 9.7% | Temp: 41.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 10.1% | Temp: 41.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 10.1% | Temp: 41.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 9.7% | Temp: 41.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 9.7% | Temp: 42.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 10.4% | Temp: 42.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 10.4% | Temp: 41.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 10.0% | Temp: 41.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 10.0% | Temp: 41.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 9.6% | Temp: 40.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 9.9% | Temp: 40.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 9.5% | Temp: 40.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 9.9% | Temp: 41.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 9.9% | Temp: 41.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 9.5% | Temp: 41.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 9.9% | Temp: 41.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 9.9% | Temp: 41.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 9.9% | Temp: 41.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 9.9% | Temp: 42.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 9.5% | Temp: 40.9°C | Status: OK
